sample_order,istc_id,gw_ids,corpus_group,corpus_file,gw_titles,print_places_gw,year_from,year_to,date_band,language_statements_gw,istc_url,selection_note
27,ih00347500,13324,horae,horae-gw-corpus.csv,Horae ad usum Macloviensem (Saint-Malo) (Almanach 1493–1513?).,Rouen,1498,1498,1490s,,https://data.cerl.org/istc/ih00347500,Stratified pilot selection: 1490s; Rouen; language not stated in extracted GW title
28,ih00348050,12956,horae,horae-gw-corpus.csv,Horae. Orationale secundum ecclesiam Misnensem (Meißen).,Leipzig,1495,1495,1490s,,https://data.cerl.org/istc/ih00348050,Stratified pilot selection: 1490s; Leipzig; language not stated in extracted GW title
29,ih00365800,12954,horae,horae-gw-corpus.csv,Horae nostrae dominae secundum usum ecclesiae Romanae.,Kirchheim,1491,1491,1490s,,https://data.cerl.org/istc/ih00365800,Stratified pilot selection: 1490s; Kirchheim; language not stated in extracted GW title
30,ih00392130,13409,horae,horae-gw-corpus.csv,Horae. Cursus de domina. Daran: Stella clericorum.,Deventer,1497,1497,1490s,,https://data.cerl.org/istc/ih00392130,Stratified pilot selection: 1490s; Deventer; language not stated in extracted GW title
31,ih00366800,13444,horae,horae-gw-corpus.csv,Horae ad usum Romanum.,Zaragoza,1490,1490,1490s,,https://data.cerl.org/istc/ih00366800,Stratified pilot selection: 1490s; Zaragoza; language not stated in extracted GW title
32,io00049000,13330,horae,horae-gw-corpus.csv,Horae. Officium.,Ferrara,1497,1497,1490s,,https://data.cerl.org/istc/io00049000,Stratified pilot selection: 1490s; Ferrara; language not stated in extracted GW title
33,ih00430150,13431,horae,horae-gw-corpus.csv,"Horae, niederl. Getijdenboek.",Hasselt,1490,1490,1490s,niederl.,https://data.cerl.org/istc/ih00430150,Stratified pilot selection: 1490s; Hasselt; niederl.
34,ih00420580,13093,horae,horae-gw-corpus.csv,Horae ad usum Sarum (Salisbury).,Paris oder Rouen,1495,1495,1490s,,https://data.cerl.org/istc/ih00420580,Stratified pilot selection: 1490s; Paris oder Rouen; language not stated in extracted GW title
35,ih00438000,13443,horae,horae-gw-corpus.csv,"Horae. Hores de la setmana sancta segons lo us de Valencia, lat. u. katalan.",Valencia,1494,1494,1490s,lat.,https://data.cerl.org/istc/ih00438000,Stratified pilot selection: 1490s; Valencia; lat.
36,ih00427965,13441,horae,horae-gw-corpus.csv,Horae secundum ordinem S. Benedicti.,Montserrat,1499,1499,1490s,,https://data.cerl.org/istc/ih00427965,Stratified pilot selection: 1490s; Montserrat; language not stated in extracted GW title
37,ih00337800,13327,horae,horae-gw-corpus.csv,Horae ad usum Aeduensem (Autun).,Troyes,1493,1494,1490s,,https://data.cerl.org/istc/ih00337800,Stratified pilot selection: 1490s; Troyes; language not stated in extracted GW title
38,ih00484300,13447,horae,horae-gw-corpus.csv,"Horae. Horologium secundum ritum laurae S. Sabbae Hierosolimis, kirchenslawisch. (﻿асословєць, Časoslov).",Krakau,1491,1491,1490s,,https://data.cerl.org/istc/ih00484300,Stratified pilot selection: 1490s; Krakau; language not stated in extracted GW title
39,ih00344500,13033,horae,horae-gw-corpus.csv,Horae ad usum Ebroicensem (Évreux).,Goupillières,1491,1491,1490s,,https://data.cerl.org/istc/ih00344500,Stratified pilot selection: 1490s; Goupillières; language not stated in extracted GW title
40,ih00424700,13049,horae,horae-gw-corpus.csv,Horae ad usum Sarum (Salisbury).,Paris(?),1500,1500,1500_or_later,,https://data.cerl.org/istc/ih00424700,Stratified pilot selection: 1500 or later; Paris(?); language not stated in extracted GW title
41,ig00111800,XI468BP,horae,horae-gw-corpus.csv,"Horae, niederländisch. Seven Gebeden.",Zwolle,1500,1500,1500_or_later,niederl.,https://data.cerl.org/istc/ig00111800,Stratified pilot selection: 1500 or later; Zwolle; niederl.
42,ih00336100,13328,horae,horae-gw-corpus.csv,Horae.,Italien,1500,1500,1500_or_later,,https://data.cerl.org/istc/ih00336100,Stratified pilot selection: 1500 or later; Italien; language not stated in extracted GW title
43,ih00436430,12944,horae,horae-gw-corpus.csv,Horae.,Deutschland,1500,1500,1500_or_later,,https://data.cerl.org/istc/ih00436430,Stratified pilot selection: 1500 or later; Deutschland; language not stated in extracted GW title
44,ih00357370,1338820N,horae,horae-gw-corpus.csv,Horae. Officium BMV.,Venedig,1500,1500,1500_or_later,,https://data.cerl.org/istc/ih00357370,Stratified pilot selection: 1500 or later; Venedig; language not stated in extracted GW title
45,ih00425400,13019,horae,horae-gw-corpus.csv,Horae ad usum Sarum (Salisbury)(?).,London,1500,1500,1500_or_later,,https://data.cerl.org/istc/ih00425400,Stratified pilot selection: 1500 or later; London; language not stated in extracted GW title
46,ih00425200,13028,horae,horae-gw-corpus.csv,Horae ad usum Sarum (Salisbury)(?).,Westminster,1500,1500,1500_or_later,,https://data.cerl.org/istc/ih00425200,Stratified pilot selection: 1500 or later; Westminster; language not stated in extracted GW title
47,ih00357350,1333510,horae,horae-gw-corpus.csv,Horae. Officium BMV secundum usum Romanum.,Neapel,,,unknown,,https://data.cerl.org/istc/ih00357350,Stratified pilot selection: date not extracted; Neapel; language not stated in extracted GW title
48,ic00788600,13394,horae,horae-gw-corpus.csv,"Horae, ital. Compagnia dei Battuti.",Florenz,,,unknown,ital.,https://data.cerl.org/istc/ic00788600,Stratified pilot selection: date not extracted; Florenz; ital.
49,ig00113300,M2802830,supplementary,supplementary-gw-corpus.csv,"Orationes. Gebete, deutsch.",Südwestdeutschland (Ulm oder Reutlingen?),1478,1478,through_1479,deutsch,https://data.cerl.org/istc/ig00113300,Stratified pilot selection: through 1479; Südwestdeutschland (Ulm oder Reutlingen?); deutsch
50,ib00677300,04363,supplementary,supplementary-gw-corpus.csv,"Pseudo-Birgitta: Orationes quindecim. Daran: Columna, Aegidius: Hymnus in S. Veronicam.",Rom,1478,1478,through_1479,,https://data.cerl.org/istc/ib00677300,Stratified pilot selection: through 1479; Rom; language not stated in extracted GW title
51,is00687000,M38911,supplementary,supplementary-gw-corpus.csv,"Rosarium, deutsch. Rosenkranz.",Augsburg,1477,1477,through_1479,deutsch,https://data.cerl.org/istc/is00687000,Stratified pilot selection: through 1479; Augsburg; deutsch
52,ir00360500,M39208,supplementary,supplementary-gw-corpus.csv,"Rupe, Alanus de: De utilitate Psalterii Marie, niederl.",Utrecht,1480,1480,1480s,niederl.,https://data.cerl.org/istc/ir00360500,Stratified pilot selection: 1480s; Utrecht; niederl.
53,ir00318600,M38930,supplementary,supplementary-gw-corpus.csv,Rosarium odor vitae.,Gaeta,1487,1487,1480s,,https://data.cerl.org/istc/ir00318600,Stratified pilot selection: 1480s; Gaeta; language not stated in extracted GW title
54,ib00683600,0438805N,supplementary,supplementary-gw-corpus.csv,"Pseudo-Birgitta: Orationes quindecim, engl.",Westminster,1491,1491,1490s,engl.,https://data.cerl.org/istc/ib00683600,Stratified pilot selection: 1490s; Westminster; engl.
55,ib00685000,04387,supplementary,supplementary-gw-corpus.csv,"Pseudo-Birgitta: Orationes quindecim, deutsch.",Reutlingen,1494,1494,1490s,deutsch,https://data.cerl.org/istc/ib00685000,Stratified pilot selection: 1490s; Reutlingen; deutsch
56,ib01268480,0567010N,supplementary,supplementary-gw-corpus.csv,"Buchsbaum, Sixt: Unser lieben Frauen Rosenkranz.",Erfurt,1494,1494,1490s,,https://data.cerl.org/istc/ib01268480,Stratified pilot selection: 1490s; Erfurt; language not stated in extracted GW title
57,io00069000,M28049,supplementary,supplementary-gw-corpus.csv,Orationes sacrae ad plenum collectae.,Burgos,1500,1500,1500_or_later,,https://data.cerl.org/istc/io00069000,Stratified pilot selection: 1500 or later; Burgos; language not stated in extracted GW title
58,il00194850,M28050,supplementary,supplementary-gw-corpus.csv,Orationes sacrae ad plenum collectae.,Salamanca,1500,1500,1500_or_later,,https://data.cerl.org/istc/il00194850,Stratified pilot selection: 1500 or later; Salamanca; language not stated in extracted GW title
59,iw00019300,M28015,supplementary,supplementary-gw-corpus.csv,Orationes. Gebete für Herzog Wilhelm von Baiern. 1432.,Bayern,,,unknown,,https://data.cerl.org/istc/iw00019300,Stratified pilot selection: date not extracted; Bayern; language not stated in extracted GW title
60,in00259800,M27155,supplementary,supplementary-gw-corpus.csv,"Nitzschewitz, Hermann: De gulden rosen krans der soten gotliken leve (Rosarium).",Lüneburg,,,unknown,,https://data.cerl.org/istc/in00259800,Stratified pilot selection: date not extracted; Lüneburg; language not stated in extracted GW title
